,File,Min,1Q,Median,Mean,3Q,Max,Type
bladabindi.exe,6.3720519009,0,4.3154440006,4.8364531613,4.758507339,5.1225912992,6.939990576,1
kazy.exe,7.8476928783,0,6.9242923088,7.0038789573,6.7358323411,7.0738369139,7.219478369,1
rusto0k_e.exe,7.9979093465,1.5372696005,7.1326079356,7.1675869139,7.1308568211,7.2076832518,7.3151433104,1
wirenet,6.2402380691,0,4.5100554962,5.1913354798,4.7610954995,5.5624130786,7.2028195311,1
boaxxe.1iR,7.6910144616,0,5.6602249514,7.1194407109,6.3772915075,7.180415869,7.2967222656,1
lephi0.bin,6.0577344254,0,3.4885840407,3.9228559662,4.3407911837,5.5013234522,6.1290462753,1
rusto0k_I.exe,6.1776089452,0,4.5071980732,5.4555150683,4.7272144571,5.7524691832,6.166726594,1
WORM_1OBFUS.SM01,5.9451993532,0,3.1156189839,3.9604059423,3.6575179293,4.334485318,7.2995183104,1
0arberp._xe,7.8229128139,0,5.9011271535,7.1028827775,6.442126441,7.1715695311,7.3161771483,1
linux0hapros,5.1509308934,0,1.5953968838,4.1470700408,3.6581543143,5.2629599049,6.8401440083,1
rusto0k_j.exe,7.9258211102,0,5.2528118852,5.9030212786,5.7855675271,7.165772877,7.3043820311,1
WORM_1OBFUS.SMA3,5.2989299145,0,3.8505017584,4.3008243854,4.0242008643,4.5471644235,7.2047344725,1
0ridex,7.8652075491,0,7.0049127952,7.0886817149,6.8229385424,7.1444030528,7.2614896483,1
Matsnu.0om_,6.362692964,0,3.7352943994,5.4432299673,4.8969984722,5.8741639532,7.796875,1
rusto0k_nfe.exe,6.3907923966,0,0,7.1272532109,4.875453788,7.1834655528,7.313228369,1
WORM_1OBFUS.SMIS,5.36146482,0,3.4316183592,4.0911736627,3.8249547124,4.4713778063,7.2437969725,1
0ryptJan14_2.exe,6.9730214095,1.572017489,4.8397989687,5.107274896,5.0098276007,5.3535942062,6.1662699818,1
narilam.exe_,4.8947697674,0,4.3754798817,4.6638186659,4.65529817,5.0652964354,5.8217863395,1
Shylo0kskype,6.7765167605,0,5.611823811,5.7787788544,5.7058074618,5.9225902234,6.3474184567,1
WORM_1OBFUS.SMM2,5.1290315726,0,3.3428936264,4.0874375083,3.6626203686,4.4746575797,7.1727042735,1
0ryptJan14_3.exe,7.1322787603,1.3581414464,4.8631784803,5.1258133941,5.0459023944,5.3804536305,6.2925918216,1
nitlo1e.bin,5.5500532221,0,4.0178127139,4.0656691629,4.1417119951,4.1289523134,5.6864540702,1
somoto.exe,7.5834869957,0,4.8553431363,5.5570781892,5.5887513125,7.1568256346,7.2887570311,1
ZeroA00ess.exe_,7.6422095395,0,6.0024167084,7.1467080937,6.6042247643,7.1939731932,7.3024670897,1
0ryptNo113.exe,6.8477189301,0,5.9445908603,6.0511398367,5.9783233752,6.1685374553,6.4892910153,1
ni1dort.exe,6.7600370582,0,5.3661384059,5.4694756256,5.4595667706,5.5724847779,7.0724129765,1
stabuniq,7.7504210838,0,5.9880365064,7.1478428361,6.4980265196,7.1971756114,7.3102795897,1
zerolo0ker,6.4241261961,1.8378524414,4.7148159499,7.1486230351,6.3340020146,7.1891094725,7.3649670897,1
0ryptowall.bin,5.4160450424,0,1.7462185947,1.8803597632,3.2842236542,5.253365913,7.796875,1
njRAT.exe,5.5924378045,0,4.047722635,4.3218356968,4.246599079,4.553174786,5.3411007558,1
Surtr,4.831697514,0.0737269123,1.6418894974,1.9901277791,2.1993875103,2.2719463564,5.063378418,1
zeus_b1.exe,6.9819842307,0,5.5322981839,5.811349673,5.2770774129,5.8791688416,6.4829213147,1
0ryptSep13.exe,7.711714947,0,4.9964640156,5.4519316092,5.1767256239,5.7202929181,7.2359844725,1
NSIS.exe,7.9887259309,0,5.7258779958,7.1116282109,6.4578455837,7.1682306523,7.283012207,1
zeus_go.ex_,6.7912189426,0,5.3704133416,5.6642522171,5.5001176962,5.9066414336,8,1
Dest_sony.exe,5.7354147911,0,3.371782668,5.4055334503,4.2325730782,5.7086190295,7.1656719725,1
onionDuke,6.2718626627,0,5.2561133699,5.5492484013,5.3032179095,5.7534098551,7.796875,1
Taleret_2,3.7004397181,3.7004397181,3.7004397181,3.7004397181,3.7004397181,3.7004397181,3.7004397181,1
zeus_1m,7.9201503293,0,7.1331507695,7.1696545897,6.8709593238,7.2057683104,7.3314120488,1
duqu,5.9975327701,0,4.3839216025,5.477482933,4.6978132505,5.7220988689,7.1789919316,1
poweliks.ex_,6.5457601799,0,4.2376453873,5.5766889382,4.7919559512,6.0365231861,7.2917058104,1
Tapaoux.exe_,2.5849625007,2.5849625007,2.5849625007,2.5849625007,2.5849625007,2.5849625007,2.5849625007,1
emotet.bin,6.8537510094,0,4.3228306626,7.017335377,5.242200921,7.1741282109,7.3562734863,1
rombertik.exe,4.8144511037,0,0,3.4448432616,3.2010429909,5.3084314347,7.1998707518,1
the_zeus_binary_0hapros,7.1917632305,0,5.270495482,5.7467813795,5.5718022216,7.0939355351,7.796875,1
